Start_Date,End_Date,Portfolio_Start,Portfolio_End,Portfolio_Return_Pct,Leveraged_Return_Pct,VIX,VIX_Fast,Benchmark_Return_Pct,Top10,Changes,IBM_Pct,IBM_Ret,IBM_LevRet,KO_Pct,KO_Ret,KO_LevRet,MO_Pct,MO_Ret,MO_LevRet,MRK_Pct,MRK_Ret,MRK_LevRet,XOM_Pct,XOM_Ret,XOM_LevRet,IP_Pct,IP_Ret,IP_LevRet,GT_Pct,GT_Ret,GT_LevRet,HON_Pct,HON_Ret,HON_LevRet,UK-200102_Pct,UK-200102_Ret,UK-200102_LevRet,MMM_Pct,MMM_Ret,MMM_LevRet,FL-202509_Pct,FL-202509_Ret,FL-202509_LevRet,T-200511_Pct,T-200511_Ret,T-200511_LevRet,S-200503_Pct,S-200503_Ret,S-200503_LevRet,EKDKQ-201309_Pct,EKDKQ-201309_Ret,EKDKQ-201309_LevRet,CAT_Pct,CAT_Ret,CAT_LevRet,AXP_Pct,AXP_Ret,AXP_LevRet,MTLQQ-201103_Pct,MTLQQ-201103_Ret,MTLQQ-201103_LevRet,DD-201708_Pct,DD-201708_Ret,DD-201708_LevRet,BA_Pct,BA_Ret,BA_LevRet,RTX_Pct,RTX_Ret,RTX_LevRet,TX-200110_Pct,TX-200110_Ret,TX-200110_LevRet,GE_Pct,GE_Ret,GE_LevRet,XAUUSD_Pct,XAUUSD_Ret,XAUUSD_LevRet,JPM_Pct,JPM_Ret,JPM_LevRet,T_Pct,T_Ret,T_LevRet,HPQ_Pct,HPQ_Ret,HPQ_LevRet,MCD_Pct,MCD_Ret,MCD_LevRet,WMT_Pct,WMT_Ret,WMT_LevRet,CVX_Pct,CVX_Ret,CVX_LevRet,JNJ_Pct,JNJ_Ret,JNJ_LevRet,HD_Pct,HD_Ret,HD_LevRet,VZ_Pct,VZ_Ret,VZ_LevRet,PFE_Pct,PFE_Ret,PFE_LevRet,INTC_Pct,INTC_Ret,INTC_LevRet,MDLZ_Pct,MDLZ_Ret,MDLZ_LevRet,MSFT_Pct,MSFT_Ret,MSFT_LevRet,BAC_Pct,BAC_Ret,BAC_LevRet,DIS_Pct,DIS_Ret,DIS_LevRet,UNH_Pct,UNH_Ret,UNH_LevRet,TRV_Pct,TRV_Ret,TRV_LevRet,AAPL_Pct,AAPL_Ret,AAPL_LevRet,NKE_Pct,NKE_Ret,NKE_LevRet,V_Pct,V_Ret,V_LevRet,GS_Pct,GS_Ret,GS_LevRet,PG_Pct,PG_Ret,PG_LevRet,CRM_Pct,CRM_Ret,CRM_LevRet,CSCO_Pct,CSCO_Ret,CSCO_LevRet
1991-01-31,1991-02-28,100912.84,110547.85,9.55,9.55,20.9,False,5.33,"MO, IBM, KO, XOM, MRK, IP, CVX, EKDKQ-201309, PG, TX-200110","+IBM, +KO, +MO",33.33,2.56,2.56,33.33,7.44,7.44,33.33,18.65,18.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-02-28,1991-03-28,111560.71,110144.97,-1.27,-1.27,21.2,False,1.1,"MO, IBM, MRK, KO, IP, FL-202509, PG, EKDKQ-201309, MMM, XOM",,33.33,-11.55,-11.55,33.33,4.06,4.06,33.33,3.69,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-03-28,1991-04-30,111153.27,110237.92,-0.82,-0.82,16.9,False,-0.89,"MO, MRK, KO, IP, XOM, C, PG, MCD, GE, FL-202509",IBM→MRK,,,,33.33,-2.76,-2.76,33.33,-1.84,-1.84,33.33,2.13,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-30,1991-05-31,111200.12,115568.56,3.93,3.93,18.2,False,4.84,"MO, MRK, XOM, IP, GE, S-200503, TX-200110, KO, CVX, HWM",KO→XOM,,,,,,,33.33,2.43,2.43,33.33,10.32,10.32,33.33,-0.97,-0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-05-31,1991-06-28,116598.03,113260.42,-2.86,-2.86,15.9,False,-3.99,"MRK, MO, JPM-200012, XOM, S-200503, IP, GE, KO, HWM, TX-200110",,,,,,,,33.33,-6.52,-6.52,33.33,-1.85,-1.85,33.33,-0.21,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-06-28,1991-07-31,114209.34,120356.24,5.38,5.38,19.6,False,4.06,"MRK, IP, MO, GT, S-200503, JPM-200012, DD-201708, XOM, GE, KO",XOM→IP,,,,,,,33.33,6.69,6.69,33.33,10.87,10.87,,,,33.33,-1.42,-1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-07-31,1991-08-30,121327.03,124977.26,3.01,3.01,15.2,False,0.62,"MRK, GT, S-200503, MO, DD-201708, JPM-200012, XOM, IP, KO, T-200511",IP→GT,,,,,,,33.33,9.41,9.41,33.33,-0.97,-0.97,,,,,,,33.33,0.59,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-08-30,1991-09-30,125928.83,132337.82,5.09,5.09,14.5,False,-0.88,"GT, MRK, KO, MO, JPM-200012, DD-201708, S-200503, IP, HON, XOM",,,,,,,,33.33,-2.0,-2.0,33.33,2.56,2.56,,,,,,,33.33,14.71,14.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-09-30,1991-10-31,133285.2,140688.16,5.55,5.56,15.8,False,1.73,"GT, MRK, JPM-200012, KO, MO, UK-200102, IP, HON, DD-201708, T-200511",,,,,,,,33.33,-2.77,-2.77,33.33,5.48,5.48,,,,,,,33.33,13.96,13.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-10-31,1991-11-29,141690.85,141310.34,-0.27,-0.27,15.5,False,-5.68,"GT, MRK, HON, IP, JPM-200012, KO, MO, DD-201708, XOM, GE",,,,,,,,33.33,-3.39,-3.39,33.33,6.65,6.65,,,,,,,33.33,-4.07,-4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
