Start_Date,End_Date,Portfolio_Start,Portfolio_End,Portfolio_Return_Pct,Leveraged_Return_Pct,Benchmark_Return_Pct,Top10,Changes,IBM_Pct,IBM_Ret,IBM_LevRet,KO_Pct,KO_Ret,KO_LevRet,MO_Pct,MO_Ret,MO_LevRet,MRK_Pct,MRK_Ret,MRK_LevRet,XOM_Pct,XOM_Ret,XOM_LevRet,IP_Pct,IP_Ret,IP_LevRet,GT_Pct,GT_Ret,GT_LevRet,HON_Pct,HON_Ret,HON_LevRet,UK-200102_Pct,UK-200102_Ret,UK-200102_LevRet,MMM_Pct,MMM_Ret,MMM_LevRet,FL-202509_Pct,FL-202509_Ret,FL-202509_LevRet,T-200511_Pct,T-200511_Ret,T-200511_LevRet,S-200503_Pct,S-200503_Ret,S-200503_LevRet,EKDKQ-201309_Pct,EKDKQ-201309_Ret,EKDKQ-201309_LevRet,CAT_Pct,CAT_Ret,CAT_LevRet,AXP_Pct,AXP_Ret,AXP_LevRet,MTLQQ-201103_Pct,MTLQQ-201103_Ret,MTLQQ-201103_LevRet,DD-201708_Pct,DD-201708_Ret,DD-201708_LevRet,BA_Pct,BA_Ret,BA_LevRet,RTX_Pct,RTX_Ret,RTX_LevRet,TX-200110_Pct,TX-200110_Ret,TX-200110_LevRet,GE_Pct,GE_Ret,GE_LevRet,PG_Pct,PG_Ret,PG_LevRet,C_Pct,C_Ret,C_LevRet,WMT_Pct,WMT_Ret,WMT_LevRet,DIS_Pct,DIS_Ret,DIS_LevRet,MCD_Pct,MCD_Ret,MCD_LevRet,JNJ_Pct,JNJ_Ret,JNJ_LevRet,HPQ_Pct,HPQ_Ret,HPQ_LevRet,HWM_Pct,HWM_Ret,HWM_LevRet,INTC_Pct,INTC_Ret,INTC_LevRet,JPM_Pct,JPM_Ret,JPM_LevRet,VZ_Pct,VZ_Ret,VZ_LevRet,T_Pct,T_Ret,T_LevRet,CVX_Pct,CVX_Ret,CVX_LevRet,HD_Pct,HD_Ret,HD_LevRet,PFE_Pct,PFE_Ret,PFE_LevRet,MDLZ_Pct,MDLZ_Ret,MDLZ_LevRet,MSFT_Pct,MSFT_Ret,MSFT_LevRet,BAC_Pct,BAC_Ret,BAC_LevRet,UNH_Pct,UNH_Ret,UNH_LevRet,TRV_Pct,TRV_Ret,TRV_LevRet,AAPL_Pct,AAPL_Ret,AAPL_LevRet,NKE_Pct,NKE_Ret,NKE_LevRet,V_Pct,V_Ret,V_LevRet,GS_Pct,GS_Ret,GS_LevRet,CSCO_Pct,CSCO_Ret,CSCO_LevRet,CRM_Pct,CRM_Ret,CRM_LevRet,AMGN_Pct,AMGN_Ret,AMGN_LevRet
1991-01-31,1991-02-28,100912.84,110547.85,9.55,17.52,5.33,"MO, IBM, KO, XOM, MRK, IP, CVX, EKDKQ-201309, PG, TX-200110","+IBM, +KO, +MO",33.33,2.56,4.37,33.33,7.44,13.08,33.33,18.65,35.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-02-28,1991-03-28,111560.71,110144.97,-1.27,-2.41,1.1,"MO, IBM, MRK, KO, IP, FL-202509, PG, EKDKQ-201309, MMM, XOM",,33.33,-11.55,-20.69,33.33,4.06,7.11,33.33,3.69,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-03-28,1991-04-30,111153.27,110237.92,-0.82,-1.79,-0.89,"MO, MRK, KO, IP, XOM, C, PG, MCD, GE, FL-202509",IBM→MRK,,,,33.33,-2.76,-5.31,33.33,-1.84,-3.63,33.33,2.13,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-30,1991-05-31,111200.12,115568.56,3.93,7.07,4.84,"MO, MRK, XOM, IP, GE, S-200503, TX-200110, KO, CVX, HWM",KO→XOM,,,,,,,33.33,2.43,4.15,33.33,10.32,19.06,33.33,-0.97,-1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-05-31,1991-06-28,116598.03,113260.42,-2.86,-5.19,-3.99,"MRK, MO, JPM-200012, XOM, S-200503, IP, GE, KO, HWM, TX-200110",,,,,,,,33.33,-6.52,-11.56,33.33,-1.85,-3.49,33.33,-0.21,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-06-28,1991-07-31,114209.34,120356.24,5.38,9.85,4.06,"MRK, IP, MO, GT, S-200503, JPM-200012, DD-201708, XOM, GE, KO",XOM→IP,,,,,,,33.33,6.69,12.11,33.33,10.87,20.16,,,,33.33,-1.42,-2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-07-31,1991-08-30,121327.03,124977.26,3.01,5.17,0.62,"MRK, GT, S-200503, MO, DD-201708, JPM-200012, XOM, IP, KO, T-200511",IP→GT,,,,,,,33.33,9.41,17.14,33.33,-0.97,-1.9,,,,,,,33.33,0.59,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-08-30,1991-09-30,125928.83,132337.82,5.09,9.44,-0.88,"GT, MRK, KO, MO, JPM-200012, DD-201708, S-200503, IP, HON, XOM",,,,,,,,33.33,-2.0,-3.67,33.33,2.56,4.52,,,,,,,33.33,14.71,27.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-09-30,1991-10-31,133285.2,140688.16,5.55,10.18,1.73,"GT, MRK, JPM-200012, KO, MO, UK-200102, IP, HON, DD-201708, T-200511",,,,,,,,33.33,-2.77,-5.2,33.33,5.48,9.84,,,,,,,33.33,13.96,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-10-31,1991-11-29,141690.85,141310.34,-0.27,-0.76,-5.68,"GT, MRK, HON, IP, JPM-200012, KO, MO, DD-201708, XOM, GE",,,,,,,,33.33,-3.39,-6.18,33.33,6.65,11.61,,,,,,,33.33,-4.07,-7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-11-29,1991-12-31,142179.02,163673.33,15.12,28.36,9.47,"GT, MRK, KO, HON, JPM-200012, IP, MO, EKDKQ-201309, DD-201708, S-200503",,,,,,,,33.33,19.36,37.11,33.33,14.24,26.78,,,,,,,33.33,11.75,21.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31,1992-01-31,164665.42,165977.9,0.8,1.51,1.72,"MRK, GT, KO, JPM-200012, MO, HON, MCD, T-200511, RTX, EKDKQ-201309",,,,,,,,33.33,-4.83,-8.66,33.33,-5.63,-10.2,,,,,,,33.33,12.85,23.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
